,현재 시판 중인 자동차
189,2021 미니 해치백 S
190,2021 BMW X2
191,2021 BMW M5
192,2020 페라리 812 GTS
193,2020 르노 마스터
194,2019 스즈키 짐니
195,2021 푸조 3008
196,2021 캐딜락 XT4
197,2020 르노 트위지
198,2019 포드 머스탱
199,2022 토요타 캠리
200,2021 푸조 5008
201,2021 BMW 5시리즈 플러그인 하이브리드
202,2021 BMW 2시리즈 그란쿠페
203,2022 BMW X4
204,2021 푸조 2008
205,2021 벤츠 E클래스 AMG
206,2021 렉서스 UX F 스포츠 하이브리드
207,2021 혼다 파일럿
208,2020 폭스바겐 티구안 올스페이스
209,2019 포르쉐 마칸
210,2022 BMW X3
211,2021 포드 F-150 라이트닝
212,2021 BMW X5 플러그인 하이브리드
213,2021 아우디 SQ5
214,2021 토요타 라브4
215,2022 테슬라 로드스터
216,2021 미니 해치백 JCW
217,2021 시트로엥 C5 에어크로스
218,2021 벤츠 AMG GT 4도어 쿠페 E 퍼포먼스
219,2020 루시드 에어
220,2020 캐딜락 CT4
221,2021 벤츠 GLA클래스 AMG
222,2021 벤츠 AMG GT
223,2018 롤스로이스 팬텀 EWB
224,2021 시트로엥 C4 칵투스
225,2021 BMW iX
226,2022 쉐보레 트래버스
227,2022 부가티 시론 슈퍼 스포츠
228,2021 벤츠 E클래스 쿠페 AMG
229,2021 BMW 8시리즈
230,2021 재규어 F-타입
231,2020 캐딜락 XT5
232,2020 미니 클럽맨
233,2021 아우디 RS6 아반트
234,2021 벤츠 EQS
235,2021 람보르기니 쿤타치
236,2018 페라리 포르토피노
237,2021 링컨 에비에이터 플러그인 하이브리드
238,2020 토요타 프리우스
239,2020 쉐보레 타호
240,2021 벤츠 E클래스 쿠페
241,2021 포드 F-150
242,2021 랜드로버 레인지로버 LWB
243,2021 랜드로버 디펜더 90
244,2021 혼다 오딧세이
245,2021 포드 F-150 랩터
246,2021 아우디 A5 카브리올레
247,2021 아우디 A8L
248,2021 BMW i4
249,2020 쉐보레 이쿼녹스
250,2020 르노 캡처
251,2019 애스턴마틴 밴티지
252,2021 아우디 RS5 스포트백
253,2021 렉서스 RC F
254,2021 BMW X3 플러그인 하이브리드
255,2022 벤츠 CLS클래스
256,2021 지프 그랜드 체로키 L
257,2021 BMW 3시리즈 투어링
258,2020 애스턴마틴 DBX
259,2021 푸조 508
260,2021 포르쉐 911 터보 카브리올레
261,2021 벤츠 GLB클래스 AMG
262,2021 시트로엥 C3 에어크로스
263,2021 렉서스 LS
264,2021 포르쉐 911 카레라 GTS 카브리올레
265,2021 DS 7 크로스백
266,2020 렉서스 IS
267,2020 BMW M8
268,2019 포르쉐 카이맨
269,2021 푸조 e-2008
270,2021 지프 랭글러 2도어
271,2021 벤츠 CLS클래스 AMG
272,2021 BMW 8시리즈 그란쿠페
273,2020 람보르기니 우라칸 에보
274,2019 스마트 포투
275,2021 벤츠 A클래스 AMG
276,2021 벤츠 AMG GT C 로드스터
277,2020 람보르기니 우라칸 에보 스파이더
278,2019 애스턴마틴 DB11
279,2021 폭스바겐 티구안 올스페이스
280,2021 BMW 3시리즈 그란투리스모
281,2020 아우디 Q3 스포트백
282,2021 포르쉐 911 터보
283,2021 BMW 4시리즈 그란쿠페
284,2019 맥라렌 720S 스파이더
285,2018 롤스로이스 던 블랙배지
286,2022 렉서스 NX 하이브리드
287,2021 미니 컨버터블 JCW
288,2021 BMW X6 M
289,2020 동풍소콘 펜곤 ix5
290,2019 재규어 I-페이스
291,2021 마쯔다 MX-5
292,2021 렉서스 NX
293,2020 BMW i3
294,2021 포르쉐 911 타르가
295,2020 벤츠 C클래스 AMG
296,2020 BMW M2
297,2021 볼보 C40 리차지
298,2020 벤츠 C클래스 쿠페
299,2020 포드 몬데오
300,2021 푸조 5008 GT
301,2021 벤틀리 뮬산 그랜드 리무진
302,2019 벤틀리 컨티넨탈 GT 컨버터블
303,2022 렉서스 ES
304,2021 토요타 랜드크루저
305,2021 아우디 S7
306,2021 아우디 SQ8
307,2021 미니 컨버터블 S
308,2021 DS 3 크로스백 E-텐스
309,2019 페라리 F8 트리뷰토
310,2021 램 1500 TRX
311,2020 맥라렌 GT
312,2019 토요타 아발론 하이브리드
313,2018 롤스로이스 팬텀
314,2021 푸조 e-208
315,2021 미니 컨버터블
316,2017 페라리 812 슈퍼패스트
317,2021 렉서스 LC 컨버터블
318,2021 BMW X5 M
319,2020 포르쉐 마칸 GTS
320,2020 벤츠 C클래스 플러그인 하이브리드
321,2021 포드 매버릭 하이브리드
322,2020 토요타 프리우스 C
323,2019 포드 머스탱 컨버터블
324,2021 DS 3 크로스백
325,2020 애스턴마틴 발할라
326,2020 벤츠 GLE클래스 플러그인 하이브리드
327,2019 재규어 E-페이스
328,2021 아우디 Q4 e-트론
329,2021 링컨 노틸러스
330,2021 BMW 7시리즈 플러그인 하이브리드
331,2020 포르쉐 카이엔 E-하이브리드
332,2021 토요타 GR 수프라
333,2019 롤스로이스 컬리넌
334,2021 벤츠 A클래스 AMG 세단
335,2021 BMW M4 컨버터블
336,2020 쉐보레 서버번
337,2019 애스턴마틴 DBS 슈퍼레제라
338,2019 맥라렌 720S
339,2017 롤스로이스 레이스
340,2021 아우디 S5
341,2021 미니 컨트리맨 SD
342,2021 미니 컨트리맨 S
343,2021 르노 메간 E-TECH
344,2021 롤스로이스 레이스 블랙배지
345,2021 미니 컨트리맨 D
346,2021 렉서스 RX
347,2021 BMW 2시리즈 엑티브 투어러
348,2019 아우디 A3 세단
349,2021 폭스바겐 아테온
350,2021 벤츠 EQB
351,2020 포르쉐 911 카레라 카브리올레
352,2021 시트로엥 그랜드 C4 스페이스 투어러
353,2020 아우디 A3
354,2020 렉서스 CT 하이브리드
355,2021 어큐라 NSX
356,2021 롤스로이스 보트테일
357,2021 닷지 차저 SRT
358,2020 지프 랭글러 루비콘 392
359,2020 벤츠 C클래스 쿠페 AMG
360,2020 마세라티 MC20
361,2019 닷지 챌린저
362,2022 BMW X4 M
363,2021 토요타 GR 86
364,2020 폭스바겐 ID.4
365,2020 쉐보레 콜벳 컨버터블
366,2020 볼보 XC40 리차지
367,2022 벤츠 CLS클래스 AMG
368,2021 캐딜락 CT5-V
369,2020 리비안 R1S
370,2022 페라리 296 GTB
371,2021 포르쉐 911 카레라 GTS
372,2021 토요타 GR 하이럭스
373,2021 아우디 S6
374,2021 벤틀리 컨티넨탈 GT 컨버터블
375,2021 닛산 Z
376,2020 미니 클럽맨 D
377,2020 닷지 차저
378,2020 닛산 GT-R
379,2019 벤츠 스프린터
380,2019 람보르기니 아벤타도르 SVJ
381,2021 혼다 시빅
382,2021 포르쉐 911 타르가 GTS
383,2021 포드 매버릭
384,2021 토요타 코롤라 크로스
385,2020 포르쉐 파나메라 E-하이브리드
386,2020 포드 머스탱 컨버터블
387,2020 르노 조에
388,2019 폴스타 2
389,2021 토요타 프리우스 프라임
390,2021 BMW X4 M
391,2020 미니 컨트리맨 JCW
392,2020 르노 클리오
393,2021 피아트 500Ce
394,2021 지프 왜고니어
395,2021 아우디 S8L
396,2021 아우디 S5 스포트백
397,2020 포르쉐 카이엔 GTS
398,2020 미니 클럽맨 JCW
399,2022 BMW X3 플러그인 하이브리드
400,2021 지프 그랜드 왜고니어
401,2021 벤틀리 플라잉 스퍼 플러그인 하이브리드
402,2021 렉서스 RX F 스포츠 하이브리드
403,2021 랜드로버 레인지로버 스포츠 SVR
404,2021 GMC 허머 EV SUV
405,2018 로터스 엘리스 S
406,2021 스바루 BRZ
407,2021 롤스로이스 던 블랙배지
408,2020 리비안 R1T
409,2019 애스턴마틴 DB11 볼란테
410,2021 폭스바겐 멀티밴
411,2021 어큐라 TLX
412,2021 아우디 S4
413,2021 렉서스 IS
414,2020 혼다 N Box
415,2021 아우디 RS e-트론 GT
416,2020 코닉세그 제메라
417,2021 푸조 508 SW
418,2021 스바루 포레스터
419,2021 렉서스 IS F 스포츠
420,2021 랜드로버 레인지로버 벨라 플러그인 하이브리드
421,2020 토요타 86
422,2021 푸조 308
423,2021 포르쉐 마칸 GTS
424,2021 람보르기니 아벤타도르 로드스터
425,2021 GMC 허머 EV
426,2020 렉서스 IS F 스포츠
427,2019 맥라렌 600LT 스파이더
428,2021 지프 커맨더
429,2021 재규어 XF
430,2021 리막 네베라
431,2020 혼다 N-One
432,2020 아우디 TT RS
433,2020 부가티 디보
434,2020 벤츠 GLS클래스 AMG
435,2020 동풍소콘 C32
436,2019 맥라렌 600LT
437,2021 포드 머스탱 쉘비 GT
438,2021 시트로엥 C5 X
439,2020 홍치 E-HS9
440,2020 폭스바겐 티록 카브리올레
441,2020 람보르기니 시안
442,2020 BMW M8 그란쿠페
443,2019 벤츠 B클래스
444,2019 닷지 챌린저 SRT
445,2022 인피니티 QX60
446,2021 푸조 508 GT
447,2021 폭스바겐 티구안 e하이브리드
448,2021 토요타 크라운
449,2018 스즈키 알토라팡 
