,단종된 자동차
184,2019 벤츠 S클래스 AMG
185,2019 벤츠 GLA클래스
186,2019 BMW X3
187,2019 BMW M3
188,2018 폭스바겐 파사트 GT
189,2018 아우디 A7
190,2018 쉐보레 아베오 세단
191,2018 벤츠 GLA클래스 AMG
192,2018 벤츠 CLA클래스
193,2017 쉐보레 트랙스
194,2017 쉐보레 크루즈
195,2017 랜드로버 디스커버리
196,2017 BMW X5 
197,2016 쉐보레 크루즈
198,2016 볼보 S80
199,2015 포르쉐 카이엔
200,2015 쉐보레 카마로
201,2015 벤츠 CLS클래스
202,2015 미쓰비시 랜서 에볼루션
203,2015 BMW 3시리즈
204,2014 폭스바겐 골프
205,2014 쉐보레 말리부
206,2012 미니 컨트리맨
207,1996 허머 H1
208,2020 폭스바겐 제타
209,2020 포드 익스플로러
210,2020 지프 글래디에이터
211,2020 아우디 e-트론
212,2020 벤츠 GLC 쿠페
213,2020 돈커부트 D8 GTO-JD70
214,2019 지프 랭글러
215,2019 인피니티 Q30
216,2019 쉐보레 콜벳 ZR1 
217,2019 벤츠 GLB클래스 AMG
218,2019 랜드로버 레인지로버 이보크 컨버터블
219,2019 BMW X5
220,2019 BMW i8 로드스터
221,2018 포드 토러스
222,2018 아우디 A6
223,2018 벤츠 E클래스 AMG 
224,2017 페라리 라페라리 아페르타
225,2017 볼보 XC90
226,2017 벤츠 AMG GT R
227,2016 쉐보레 말리부
228,2015 포르쉐 박스터
229,2015 크라이슬러 300C
230,2015 아우디 R8
231,2015 쉐보레 크루즈
232,2015 쉐보레 스파크
233,2014 아우디 A7
234,2014 벤츠 C클래스
235,2014 마세라티 기블리
236,2013 쉐보레 스파크
237,2013 미니 쿠페 SD
238,2011 쉐보레 올란도
239,2005 BMW 5시리즈
240,2020 지프 랭글러
241,2020 아우디 A7
242,2020 부가티 시론 퓨어 스포츠
243,2020 벤틀리 플라잉 스퍼
244,2020 벤틀리 벤테이가
245,2020 벤츠 마이바흐 S클래스
246,2020 BMW X7
247,2019 아우디 R8
248,2019 돈커부트 D8 GTO-JD70
249,2019 BMW X7
250,2019 BMW 4시리즈 컨버터블
251,2018 쉐보레 말리부
252,2018 볼보 XC90
253,2018 벤츠 C클래스 AMG
254,2018 벤츠 A클래스
255,2018 BMW X5
256,2018 BMW M3
257,2017 폴스타 1
258,2017 지프 레니게이드
259,2017 마세라티 르반떼
260,2017 BMW 6시리즈 그란쿠페
261,2016 폭스바겐 골프
262,2016 쉐보레 스파크
263,2016 벤츠 AMG GT
264,2016 랜드로버 레인지로버 이보크
265,2015 재규어 XF
266,2015 벤츠 GLK클래스
267,2021 부가티 시론 스포츠 레 레전드 뒤 씨엘
268,2020 지프 그랜드 체로키
269,2020 아우디 R8
270,2020 부가티 센토디에치
271,2020 벤츠 마이바흐 S클래스 풀만
272,2020 벤츠 GLB클래스
273,2020 랜드로버 레인지로버 이보크
274,2020 랜드로버 디스커버리 스포츠
275,2020 BMW X3
276,2020 BMW 7시리즈 플러그인 하이브리드
277,2020 BMW 4시리즈
278,2019 포르쉐 911 카레라
279,2019 캐딜락 에스컬레이드
280,2019 지프 그랜드 체로키
281,2019 아우디 A5
282,2019 벤츠 GLE클래스
283,2018 캐딜락 CT6 
284,2018 인피니티 Q50S 하이브리드
285,2018 쉐보레 이쿼녹스
286,2018 람보르기니 아벤타도르 S
287,2017 피아트 500 
288,2017 아우디 R8
289,2017 아우디 A6
290,2017 BMW X4
291,2016 지프 체로키
292,2016 재규어 F-페이스
293,2016 렉서스 ES 하이브리드
294,2016 다이하쓰 코펜
295,2016 W모터스 페니어 슈퍼스포트
296,2016 BMW M3
297,2015 폭스바겐 제타
298,2015 폭스바겐 골프
299,2015 쉐보레 익스프레스 밴
300,2015 쉐보레 말리부
301,2014 렉서스 IS
302,2013 쉐보레 크루즈
303,2013 랜드로버 디펜더 90
304,2012 인피니티 G37
305,2012 람보르기니 아벤타도르
306,2012 BMW X5
307,2011 쉐보레 스파크
308,2011 벤츠 E클래스
309,2010 BMW 5시리즈
310,2002 BMW 3시리즈
311,2020 재규어 XE
312,2020 아우디 A4
313,2020 볼보 XC90
314,2020 미니 컨트리맨 SE
315,2020 링컨 MKZ 하이브리드
316,2020 렉서스 ES 하이브리드
317,2020 BMW X4
318,2019 폭스바겐 제타
319,2019 페라리 488 피스타
320,2019 벤틀리 플라잉 스퍼
321,2019 벤츠 S클래스 카브리올레 AMG 
322,2019 벤츠 CLA클래스
323,2019 벤츠 AMG GT 4도어 쿠페
324,2019 링컨 MKC
325,2019 렉서스 UX
326,2019 렉서스 GS
327,2019 렉서스 ES 하이브리드
328,2019 랜드로버 레인지로버 벨라
329,2018 혼다 어코드
330,2018 포르쉐 카이엔 
331,2018 벤츠 S클래스 쿠페
332,2018 링컨 MKX
333,2018 BMW X4
334,2018 BMW 6시리즈 그란투리스모
335,2017 쉐보레 올란도
336,2017 벤츠 E클래스 AMG
337,2016 폭스바겐 비틀
338,2016 포드 머스탱
339,2016 재규어 XF
340,2016 아우디 Q5
341,2016 랜드로버 레인지로버 이보크 3도어
342,2016 BMW X5
343,2016 BMW M2
344,2015 폭스바겐 투아렉
345,2015 벤츠 GLE 쿠페
346,2014 지프 체로키
347,2014 쉐보레 올란도
348,2014 BMW 3시리즈
349,2013 쉐보레 올란도
350,2013 벤츠 S클래스
351,2012 인피니티 FX
352,2012 아우디 A7
353,2012 쉐보레 스파크
354,2012 닛산 큐브
355,2012 BMW 1M
356,2011 지프 컴패스
357,2011 쉐보레 크루즈
358,2008 포르쉐 카이엔
359,2008 테슬라 로드스터
360,2007 스바루 포레스터
361,1992 포드 크라운 빅토리아
362,2021 토요타 캠리 하이브리드
363,2021 쉐보레 볼트 EUV
364,2020 혼다 CR-V
365,2020 포르쉐 파나메라 GTS
366,2020 인피니티 QX50
367,2020 쉐보레 콜로라도
368,2020 쉐보레 볼트 EV
369,2020 벤츠 GLS클래스
370,2020 벤츠 E클래스 쿠페
371,2020 미니 컨트리맨
372,2020 마쯔다 MX-5
373,2019 폭스바겐 아테온
374,2019 토요타 프리우스
375,2019 캐딜락 CTS-V
376,2019 벤츠 GLC클래스 AMG
377,2019 벤츠 GLB클래스
378,2019 랜드로버 레인지로버 이보크
379,2019 BMW X6
380,2019 BMW X5 M
381,2019 BMW M4
382,2019 BMW 3시리즈 그란투리스모
383,2018 포르쉐 911 카레라 GTS 
384,2018 테슬라 모델3
385,2018 아우디 A3 세단
386,2018 쉐보레 아베오 해치백
387,2018 벤츠 SL클래스
388,2018 벤츠 E클래스 카브리올레
389,2018 벤츠 B클래스
390,2018 미니 컨트리맨
391,2018 마세라티 기블리
392,2018 랜드로버 레인지로버
393,2018 BMW 4시리즈
394,2017 폭스바겐 파사트 GT
395,2017 포르쉐 파나메라
396,2017 아우디 A7
397,2017 볼보 V40
398,2017 벤틀리 플라잉 스퍼
399,2017 벤츠 GLE 쿠페
400,2016 푸조 2008
401,2016 테슬라 모델X
402,2016 쉐보레 트랙스
403,2016 쉐보레 캡티바
404,2016 BMW X1
405,2015 포드 F-150
406,2015 아우디 A8L
407,2015 벤츠 마이바흐 S클래스
408,2015 닷지 차저 SRT
409,2015 BMW X4
410,2015 BMW 2시리즈 컨버터블
411,2014 토요타 캠리
412,2014 지프 랭글러
413,2014 재규어 XF
414,2014 벤츠 G클래스
415,2014 벤츠 CLA클래스
416,2014 렉서스 LS
417,2014 렉서스 ES 하이브리드
418,2014 랜드로버 레인지로버
419,2013 람보르기니 베네노
420,2012 페라리 458 이탈리아
421,2012 BMW 3시리즈 컨버터블
422,2012 BMW 3시리즈
423,2011 BMW 3시리즈
424,2010 벤츠 E클래스
425,2010 람보르기니 무르시엘라고 수퍼벨로체
426,2007 BMW 7시리즈
427,2003 페라리 엔초 페라리
428,2001 벤츠 G클래스
429,2021 쉐보레 볼트 EV
430,2021 BMW X1
431,2020 토요타 캠리
432,2020 토요타 GR 수프라
433,2020 지프 레니게이드
434,2020 인피니티 Q60
435,2020 아우디 A8
436,2020 스바루 포레스터
437,2020 쉐보레 트래버스
438,2020 마세라티 콰트로포르테
439,2020 렉서스 LS 하이브리드
440,2020 렉서스 LS
441,2020 람보르기니 우루스
442,2020 BMW Z4
443,2020 BMW X1
444,2020 BMW 4시리즈 컨버터블
445,2019 혼다 HR-V
446,2019 폭스바겐 투아렉
447,2019 인피니티 QX50
448,2019 쉐보레 말리부 하이브리드
449,2019 벤츠 GLE 쿠페 AMG
